Date,Time,Location,Operator,Flight #,Route,AC  Type,Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"October 13, 1972",2150,"Near Moscow, USSR",Aeroflot,217,Leningrad - Moscow,Ilyushin IL-62,CCCP-86671,70301,174 (passengers:164 crew:10),174 (passengers:164 crew:10),0,"The aircraft crashed at the outer marker while attempting to land for the third time in poor weather conditions. Sudden incapacitation of the crew for reasons unknown. Contributing to the accident, the airport's instrument landing system was not working."
"October 16, 1972",0900,Off the Alaska coast,Private,,"Anchorage, AK - Juneau, AK",Cessna 310C,N1812H,35912,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0,"The plane was on a flight from Anchorage to Juneau when it disappeared as it was approaching the Chugach Mountain range. The weather along the prescribed route was not condusive to VFR flight. Louisiana Congressman and House Majority Leader Hale Boggs, Alaska Congressman Nick Begich and his aide killed. Cause unknown."
"October 21, 1972",2130,"Off Athens, Greece",Olympic Airways,,Kerkira - Athens,NAMC YS-11A-202,SX-BBQ,2155,53 (passengers:49 crew:4),37 (passengers:36 crew:1),0,Crashed into the sea just short of the runway while on approach in poor visibility. Controlled flight into water.
"October 23, 1972",,"Tanna, Vanuatu",Air Melanesie,,Lenakel - Port Vila,Britten-Norman BN-2A-6 Islander,F-OCRH,221,8 (passengers:7 crew:1),1 (passengers:1 crew:0),0,"After takeoff from Lenakel Airport, en route to Port Vila, the pilot wanted to show cattle to a passenger and decided to reduce his altitude when the twin engine airplane struck trees. Pilot error."
"October 27, 1972",1918,"Near Noiretable, Loire, France",Air Inter,696,Lyon - Clermont,Vickers Viscount 724,F-BMCH,050,68 (passengers:63 crew:5),60 (passengers:55 crew:5),0,Crashed while landing in severe turbulence. Faulty indication by radio compass.
"October 30, 1972",2040,"Poggiorsini, Italy",Aero Transporti Italiani,,Napoli - Bari,Fokker F-27 Friendship 200,I-ATIR,10301,27 (passengers:24 crew:3),27 (passengers:24 crew:3),0,Plummeted to the ground and burst into flames near a farmhouse after losing control with the tower. Visual approach in descent below minima.
"October 31, 1972",1800,"Near My Tho, South Vietnam",Military - U.S. Army,,,Boeing Vertol CH-47 (helicopter),,,22 (passengers:? crew:?),22 (passengers:? crew:?),0,Shot down by enemy fire over the Mekong Delta region.
"November 04, 1972",2002,"Near Plovdiv, Bulgaria",Balkan Bulgarian Airlines,,Burgas - Sofia,Ilyushin IL-14P,LZ-ILA,146001046,35 (passengers:31 crew:4),35 (passengers:31 crew:4),0,"The crew elected to divert to Plovdiv due to fog. While on approach, the aircraft flew into a mountain. ATC error."
"November 17, 1972",2320,"Elkton, Kentucky",Metro Air Systems,,"Hopkinsville, KY - Lexington, KY",Beech G18S,N2700S,BA-567,11 (passengers:10 crew:1),11 (passengers:10 crew:1),0,"Improperly loaded aircraft, weight and center of gravity."
"November 28, 1972",1951,"Near Moscow, Russia",Japan Air Lines,446,Moscow - Tokyo,McDonnell Douglas DC-8-62,JA8040,46057/474,76 (passengers:61 crew:15),62 (passengers:53 crew:9),0,"The aircraft lost altitude while taking off and crashed. The copilot responded to the captain's ""gear-up"" command by reaching forward and pulling back on the ground spoiler handle, rather than lifting the gear handle which was immediately ahead of the spoiler control. Late night partying by the crew was suspected the night before."
"December 03, 1972",0733,"Tenerife, Canary Islands",Spantax,,Tenerife - Munchen,Convair CV-990-30A-5 Coronado,EC-BZR,30-10-25,155 (passengers:148 crew:7),155 (passengers:148 crew:7),0,Reached a height of 300 feet when the plane suddenly plunged to earth and crashed. Loss of control precipitated by abnormal maneuvers made by the pilot in command in zero visibility. Crew's loss of situational awareness. Spatial disorientation immediately after takeoff in an almost zero visibility configuration.
"December 08, 1972",1215,"Near Rawalpindi, Pakistan",Pakistan International Airlines,631,Gilgit - Rawalpindi,Fokker F-27 Friendship 400,AP-AUS,10314,26 (passengers:22 crew:4),26 (passengers:22 crew:4),0,Crashed into hilly area in poor weather conditions. Controlled flight into terrain.
"December 08, 1972",1428,"Midway Airport, Chicago, Illinois",United Air Lines,553,Washington - Chicago,Boeing B-737-222,N9031U,19069/75,61 (passengers:55 crew:6),43 (passengers:40 crew:3),2,"The aircraft crashed while making a nonprecision instrument approach to Runway 31L. The accident occurred in a residential area approximately 1.5 miles southeast of the approach end of Runway 31L. Upon reaching mimimum descent altitude, the pilot raised the nose of the aircraft to stop the descent. The stall warning horn sounded and continued to sound until the plane crashed 17 seconds later. The aircraft was destroyed by impact and subsequent fire. The captain's failure to exercise positive flight management during the execution of a non-precision approach, which culminated in a critical deterioration of airspeed resulting in a stall from which level flight could no longer be maintained. U.S. Representative from Illinois George Collins killed. Wife of Watergates E. Howard Hunt, Dorothy Hunt, also killed."
"December 20, 1972",1800,"Chicago, Illinois",Delta Air Lines/ North Central Airlines,954/575,Tampa - Chicago / Chicago - Madison,Convair CV-880 / McDonnell DC-9-31,N8897E/N954N,22-00-29 / 47159/231,133 (passengers:122 crew:11),10 (passengers:10 crew:0),0,"The Delta Convair, taxing across Runway 27L, after landing in heavy fog, was hit by the North Central DC-9 as it took off, shearing off its tail. The DC-9 came crashing back down on the runway and caught fire. Ten people out of 45 aboard the DC-9 were killed. None of the 88 aboard the Convair were killed. The ATC gave ambiguous instructions to the Delta crew, did not use all available information to determine the location of the CV-880 and the CV-880 crew did not request clarification of the controller's instructions."
"December 21, 1972",,"Off St. Maarten off, Netherlands Antilles",Air Guadeloupe,,Guadeloupe - St. Maarten,de Havilland Canada DHC-6 Twin Otter 300,F-OGFE,258,13 (passengers:11 crew:2),13 (passengers:11 crew:2),0,Crashed on approach into the sea at night.
"December 23, 1972",1634,"Skaugum, Norway",Braathens,,Alesund - Oslo,Fokker F-28 Fellowship 1000,LN-SUY,11011,45 (passengers:42 crew:3),40 (passengers:37 crew:3),0,"Hit high ground while on approach to Fornebu Airport in Oslo. The aircraft descended well below the MDA and was off course by 2,5° at the time of the accident.Pilot error."
"December 29, 1972",2342,"Everglades National Park, Florida",Eastern Air Lines,401,New York City - Miami,Lockheed L-1011 TriStar 1,N310EA,1011,176 (passengers:163 crew:13),103 (passengers:97 crew:6),0,"The crew was preoccupied with a landing gear problem and was trying to replace the landing gear light while on autopilot and in a holding pattern over the everglades. As the captain turned to tell the flight engineer to go below to check if the landing gear was down, he inadvertently pushed on the yoke releasing the altitude hold of the autopilot. With no ground reference and under nighttime conditions, the aircraft gradually descended until it crashed into Everglades, 18.7 miles west-northwest of Miami. The failure of the crew to monitor the flight instruments during the final 4 minutes of flight, and to detect a descent soon enough to prevent impact with the ground. After spare parts from the L-1011 were used on other planes, apparitions of the captain, Robert Loft and flight engineer, Don Repo began to be reported by Eastern employees. The book ""The Ghost of Flight 401""and movies ""The Ghost of Flight 401"" and ""Crash"" are based on this accident. Three passengers and one crew member died in weeks following the accident making the total 103."
"December 31, 1972",1923,"San Juan, Puerto Rico",American Express Leasing,,"San Juan, PR - Managua, Nicaragua",Douglas DC-7CF,N500AE,45130/823,5 (passengers:2 crew:3),5 (passengers:2 crew:3),0,"The flight crashed moments after taking off after losing the No. 2 engine and losing power in the No. 3 engine. Overloaded by 4,193 lbs. Inadequate maintenance, inspection and previous damage to the engine during a taxing accident led to the engine failures. Baseball player Roberto Clemente, 38, killed. Clemente was on a relief mission to deliver supplies for earthquake victims in Nicaragua."
"January 02, 1973",0834,"Edmonton, Alberta, Canada",Pacific Western Airlines,,Toronto - Edmonton,Boeing 707-321C,CF-PWZ,18826/389,5 (passengers:0 crew:5),5 (passengers:0 crew:5),0,"Landing in poor visibility, turbulence and snow, the cargo plane came in for a landing at a high sink rate. The captain took over the controls to try to arrest the sink rate but the plane crashed into trees, a powerline and finally into a ridge short of the runway. The plane broke in two and was destroyed by fire."
"January 19, 1973",1431,"Near Glasgow, Scotland",British European Airways,,Test flight,Vickers 802 Viscount,G-AOHI,158,4 (passengers:2 crew:2),4 (passengers:2 crew:2),0,Crashed into Ben More mountain. The pilot did not maintain a safe altitude and gave insufficient attention to navigation when flying VFR into an area of snow covered high ground in marginal weather conditions.
"January 21, 1973",2356,"Perm, Russia",Aeroflot,,Kazan - Perm,Antonov An-24B,CCCP-46276,77303609,39 (passengers:34 crew:5),39 (passengers:34 crew:5),0,"The plane went into a spiral dive. As the crew tried to pull the plane out, it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued. Cause unknown."
"January 22, 1973",0930,"Kano, Nigeria",Alia Royal Jordanian Airlines,,Jeddah - Lagos,Boeing B-707-3D3C,JY-ADO,20494/850,202 (passengers:193 crew:9),176 (passengers:170 crew:6),0,The landing gear collapsed after hitting a depression in the runway while landing. The aircraft ran off the side of the runway and caught fire. Wake turbulence during the landing.
"January 27, 1973",,"Near Tegucigalpa, Honduras",TAN,,Miami - Tegucigalpa,Douglas DC-6A,HR-TNO,45476/977,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The cargo plane crashed and burned ten miles from the destination airport.
"January 29, 1973",,"Near Kyrenia, Cyprus",Egyptair,741,Cairo - Nicosia,Ilyushin IL-18D,SU-AOY,188011101,37 (passengers:30 crew:7),37 (passengers:30 crew:7),0,Crashed into the Kyrenia Mountains while on approach. Controlled flight into terrain.
"February 19, 1973",1006,"Prague, Czechoslovakia",Aeroflot,,Moscow - Praha,Tupolev TU-154,CCCP-85023,023,100 (passengers:87 crew:13),66 (passengers:62 crew:4),0,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane. Official cause unknown
"February 19, 1973",0915,"Morgan City, Louisiana",Petrolium Helo Inc.,,"Oil platform - Morgan City, LA",Bell 206B,N14831,,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0,"Crashed after the failure of the main rotor. Pylon support link failed due to fatigue, causing complete failure of the main rotor."
"February 21, 1973",,"Cerro Horqueta, Panama",Aerovias Urraca,,David - Changuinola,Douglas DC-3,HP-560,19242,28 (passengers:25 crew:3),22 (passengers:19 crew:3),0,Flew into Cerro Horqueta Mountain. Controlled flight into terrain.
"February 21, 1973",1410,"Near Isma'iliya, Egypt",Libya Arab Airlines,114,Tripoli - Cairo,Boeing B-727-224,5A-DAH,20244/650,113 (passengers:104 crew:9),108 (passengers:100 crew:8),0,"While en route from Tripoli to Cairo, the aircraft drifted over Israeli territory due to strong tailwinds and was shot down by Israeli Phantom fighters. After being hit, a fire broke out and the crew attempted to make an emergency landing in the desert but crashed and burst into flames. Cairo approach control radar and beacon not functioning."
"February 24, 1973",0737,"Near Leningrad, Russia",Aeroflot,630,Dushanbe - Leninabad,Ilyushin IL-18,CCCP-75712,189001804,79 (passengers:71 crew:8),79 (passengers:71 crew:8),0,The aircraft entered a spin after the plane banked 60 degrees and then dove into the ground.
"February 28, 1973",1859,"Semipalatinsk, Kazakhstan",Aeroflot,256,Semipalatinsk - Karaganda,Yakovlev YAK-40,CCCP-87602,9120118,32 (passengers:29 crew:3),32 (passengers:29 crew:3),0,Crashed back on the the runway and broke apart. Official cause could not be determined.
"February 28, 1973",,"Near Nabire, Indonesia",Merpati Nusantara Airlines,,,de Havilland Canada DHC-6 Twin Otter 100,PK-NUC,70,13 (passengers:10 crew:3),13 (passengers:10 crew:3),0,Crashed while en route 45 km east of Nabire.
"March 03, 1973",1245,"Moscow, USSR",Balkan Bulgarian Airlines,307,Sofia - Moscow,Ilyushin IL-18V,LZ-BEM,182005602,25 (passengers:17 crew:8),25 (passengers:17 crew:8),0,"Crashed, broke up and burst in flames while on second approach after descending below glide slope. Icing of tailplane."
"March 05, 1973",1350,"Near Nantes, France",Lineas Aereas de Espana/Spantax SA Transportes,504/400,Palma de Mallorca - London,MD Douglas DC-9-32/Convair CV-990A,EC-BII/EC-BJC,47077/148 /30-10-22,182 (passengers:166 crew:16),68 (passengers:61 crew:7),0,"Midair collision. Both planes were headed to London, at the same altitude, but different airways. When the Convair was at the ATC sector boundary, the crew could barely hear the Marina controller who instructed them to contact Menhir control. The pilot erroneously thought he had to contact Menhir control when passing the Nantes VOR. In order to delay their arrival at the VOR the Convair crew twice tried to request permission to carry out a 360-degree turn. When they did not get any answer from Marina control, they initiated the turn without clearance. While in the midst of an overcast, the Convair collided with the DC-9. The CV-990 lost an outboard portion of its left wing and managed to carry out an emergency landing at Cognac-Châteaubernard Air Base. The DC-9 lost control and crashed. The air traffic control system had been taken over that day by military personnel because of a strike of civilian controllers."
"March 15, 1973",,"Hyderabad, India",Indian Airlines,,Training,HAL-748-224,VT-EAU,541,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,While turning and aligning to land the right wing tip struck power lines and a tree. The aircraft then hit a house and caught fire. Multiple errors by the instructor as well as the trainees due to being under the influence of alcohol.
"March 19, 1973",1005,"Ben Me Thuot, South Vietnam",Air Vietnam (South Vietnam),,Saigon - Ban Me,Douglas C-54D,XV-NUI,22174,62 (passengers:57 crew:5),62 (passengers:57 crew:5),0,Crashed after an explosion in the cargo hold.
"April 10, 1973",1013,"Near Basel, Switzerland",Invicta International Airlines (UK),435,Bristol - Basel,Vickers Vanguard 952,G-AXOP,745,145 (passengers:139 crew:6),108 (passengers:104 crew:4),0,Crashed into a forest during a snowstorm. Malfunctioning navigation equipment. Navigational error by crew.
"April 12, 1973",1450,"Moffett AFB, California",Military - U.S. Navy / NASA,,,Lockheed P-3C / Convair CV-990-30A-5,157332/N711NA,5547 / 1,17 (passengers:0 crew:17),16 (passengers:0 crew:16),0,"A Navy P-3C collided with a NASA research jet as it prepared to land at Moffett Naval Air Station. A ground controller mistakenly gave both planes permission to land on the same runway and the NASA plane settled on top of the P-3, 300 ft. off the ground. Both planes crashed onto a golf course. Five aboard the P-3 and 11 aboard the Convair were killed."
"April 18, 1973",,"Bamiyan, Afghanistan",Bakhtar Afghan Airlines,,Bamiyan - Kabul,de Havilland Canada DHC-6 Twin Otter 100,YA-GAT,111,19 (passengers:16 crew:3),4 (passengers:2 crew:2),0,The chartered American/Canadian tour group's plane crashed on takeoff.
"May 11, 1973",0437,"Near Semipalatinsk, USSR",Aeroflot,6551,"Tashkent, Uzbekistan - Novosibirsk, Russia",Ilyushin IL-18B,SSR-75687,189001202,61 (passengers:55 crew:8),61 (passengers:55 crew:8),0,The plane disintegrated during an emergency descent and crashed 84km from Semipalatins. Collision with a foreign object causing damage to the wing.
"May 18, 1973",0938,"Chita, Siberia, USSR",Aeroflot,109,Moscow - Chita,Tupolev TU-104A,CCCP-42411,820303,81 (passengers:72 crew:9),81 (passengers:72 crew:9),0,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker.
"May 19, 1973",1500,"Svay Rieng, Cambodia",Cambodia Air,,Svay Rieng - Phnom Penh,Douglas C-47A,XW-TDM,10078,11 (passengers:9 crew:2),11 (passengers:9 crew:2),0,Crashed shortly after taking off after being hit by ground fire.
"May 29, 1973",,"Near Rimouski, Prov. Quebec, Canada",Air Gaspé,,,Douglas DC-3,CF-QBB,10081,4 (passengers:1 crew:3),4 (passengers:1 crew:3),0,"the crew failed to realize their altitude was too low when the plane struck a tree and crashed, 5 km southeast of Rimouski."
"May 31, 1973",21:58,"Near New Delhi, India",Indian Airlines,440,Madras - Delhi,Boeing B-737-2A8,VT-EAM,20486/279,65 (passengers:58 crew:7),48 (passengers:43 crew:5),0,The plane crashed and caught fire after hitting power lines during a landing attempt. The landing was made despite visibility below minima. Crew error.
"June 01, 1973",0720,"Sao Luis, Brazil",Cruzeiro,,Belem - Sao Luis,Sud Aviation SE-210 Caravelle VIN,PP-PDX,126/127,23 (passengers:16 crew:7),23 (passengers:16 crew:7),0,"While on a go-around the aircraft attained a nose up attitude, stalled and crashed. Loss of power in the No.1 engine at a critical stage of the landing."
"June 03, 1973",1529,"Goussainville, France",Aeroflot,,Demonstration,Tupolev TU-144,CCCP-77102,01-2,6 (passengers:0 crew:6),6 (passengers:0 crew:6),8,"During a steep climb at an airshow, the airplane was observed to level off very abruptly and then begin a dive. The plane broke apart and exploded before crashing into a residential area killing 8 people and seriously injuring 60 others. The pilot, possibly startled by a close encounter with a Mirage jet photographing the TU-144, overreacted causing a compressor stall. The aircraft then went into a dive and broke apart after the aircraft's design capacity was exceeded."
"June 09, 1973",,"Rio de Janeiro, Brazil",Varig,,,Boeing 707-327C,PP-VLJ,19106/502,4 (passengers:0 crew:4),2 (passengers:0 crew:2),0,The cargo plane was making an instrument approach to Runway 14 with the speed brake lever at 45 degrees and inboard spoilers deactivated when it was noted that the spoiler switch cover was open. The captain or copilot then closed the spoiler switch cover and activated the inboard spoiler causing the aircraft to pitch down. The plane descended from a height of about 70 meters and struck approach lights.
"June 20, 1973",2247,"Near Puerto Vallarta, Mexico",Aeromexico,,Houston - Monterrey - Puerto Vallarta - Mexico City,McDonnell Douglas DC-9-15,XA-SOC,47100/153,27 (passengers:22 crew:5),27 (passengers:22 crew:5),0,"The aircraft hit high ground during an approach, 32 kms from the airport."
"June 30, 1973",1339,"Amman, Jordan",Aeroflot,SU-512,"Amman, Jordan - Beirut, Lebanon - Yerevan, Armenia",Tupolev TU-134A,CCCP-65668,1351306,85 (passengers:78 crew:8),2 (passengers:0 crew:2),7,"The aircraft was not able to lift off during takeoff, overshot the runway and crashed into a house bursting into flames."
"July 04, 1973",,"Near Shakhtyorsk, Russia",Aeroflot,,Yuzhno -Shakhtyorsk,Ilyushin IL-14,CCCP-91534,147001150,18 (passengers:13 crew:5),18 (passengers:13 crew:5),0,"Controlled flight into terrain, 53 km south of Shakhtyorsk. The crew descended below a safe altitude during the approach."
"July 09, 1973",1953,"Nnear Kuybyshev, Russia",Aeroflot,5385,Kuibyshev - Simferopol,Tupolev TU-124V,CCCP-45062,4351407,61 (passengers:54 crew:7),2 (passengers:2 crew:0),0,Made a forced landing after experiencing engine failure. Complete destruction of turbine and due to a design and manufacturing defect.
"July 11, 1973",1403,"Paris, Orly Airport, France",Varig,820,Rio - de Janerio - Paris,Boeing B-707-345C,PP-VJZ,19106/683,134 (passengers:117 crew:17),123 (passengers:116 crew:7),0,Fire aboard the aircraft in the aft right toilet was reported and an emergency descent made. The plane was heavily damaged by fire before fire fighters could rescue passengers. Most fatalities were due to CO before rescuers could reach passengers. The fire started in the aft right toilet either from an electrical short or discarded cigarette.
"July 22, 1973",2207,"Off Papeete, Tahiti",Pan American World Airways,816,"Auckland, NZ - Papeete, Tahiti - Honolulu - Los Angeles",Boeing B-707-321B,N417PA,18959/470,79 (passengers:69 crew:10),78 (passengers:68 crew:10),0,"The aircraft crashed 30 seconds after takeoff from Faaa Airport into the ocean. Cause unknown. It is possible an instrument failure diverted the crews attention during a turn. The aircraft was named ""Clipper Winged Racer."""
"July 23, 1973",1643,"St. Louis, Missouri",Ozark Air Lines,809,"Marion, IL - St. Louis",Fairchild-Hiller FH-227B,N4215,513,44 (passengers:41 crew:3),38 (passengers:37 crew:1),0,"The aircraft crashed after attempting to land in thunderstorms with heavy rain and high winds. After passing the outer marker, the aircraft descended below the glide slope, entered an area of heavy rain, was struck by lightning and crashed into the ground short of the runway. The aircraft's encounter with a downdraft following the captain's decision to initiate and continue an instrument approach into a thunderstorm. Lack of a timely issuance of a severe weather warning by the National Weather Service."
"July 24, 1973",0708,"Honolulu, HI",Air Hawaii,,Honolulu - Lihue,Volpar C45G,N234JC,,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0,"The plane experienced engine faiure while taking off and crashed into the ocean. Fuel starvation. Rear auxillary tanks not serviced. Overloaded, improper center of gravity."
"July 31, 1973",1008,"Logan Airport, Boston, Massachusetts",Delta Air Lines,723,"Burlilngton, VT - Boston, MA",McDonnell Douglas DC-9-31,N975NE,47075/166,89 (passengers:83 crew:6),89 (passengers:83 crew:6),0,The flight crashed into a seawall during ILS approach in adverse weather conditions. The failure of the flightcrew to monitor altitude and to recognize passage of the aircraft through the approach decision height during an unstabilized precision approach conducted in rapidly changing meteorological conditions. Poor positioning of the aircraft for an approach by ATC. Questionable information presented by the flight director.
"August 13, 1973",1140,"Near La Coruña, Spain",Aviaco Condor,118,Madrid - La Coruña,Sud-Aviation Caravelle 10-R,EC-BIC,225,85 (passengers:79 crew:6),85 (passengers:79 crew:6),1,"The aircraft experienced two missing landing attempts. On the third try, the crew tried to descent below minimum safe altitude to make visual contact with the ground. The right wing clipped trees and the aircraft crashed about 2 m from the runway. Attempting to land in meteorological conditions that were below minima."
"August 15, 1973",1450,"Don Don, Haiti",Private,,Port Au Prince - Cap Haitien,Norman BN-2A-6,N38JA,211,10 (passengers:9 crew:1),10 (passengers:9 crew:1),0,"While flying too low, the plane struck a mountain shrouded in clouds and located in Dondon, 21 km south of the airport. Controlled flight into terrain.."
"August 18, 1973",1851,"Baku, Azerbaijan, USSR",Aeroflot,A-13,Baku - Aktau,Antonov AN-24V,CCCP-46435,87304305,64 (passengers:60 crew:4),56 (passengers:54 crew:2),0,Crashed after after attemping a return to the airport for an emergency landing. Left engine failure.
"August 22, 1973",1140,"El Yopal, Colombia",AVIANCA,,Villavicencio - El Yopal,Douglas DC-3,HK-111,4105,17 (passengers:14 crew:3),16 (passengers:13 crew:3),0,Struck a hill in heavy fog. Flying VFR in IFR conditions.
"August 27, 1973",1245,"Bogota, Colombia",Aerocondor Colombia,,Bogota - Cartagena,Lockheed L-188A Electra,HK-777,1115,42 (passengers:36 crew:6),42 (passengers:36 crew:6),0,Crashed into El Cable Mountain after taking off in fog. Crew failed to follow departure procedures.
"August 28, 1973",2145,"Near Huete, Spain",Military - U.S. Air Force,,Athens - Madrid,Lockheed C-141A,63-8077,6008,25 (passengers:17 crew:8),24 (passengers:17 crew:7),0,"The aircraft was cleared to 5,000 ft. but descended to 3,000 ft. The plane hit a ridge became airborne, rolled over and crashed inverted into a ravine. The flying crew failed to follow approach procedures and descended to an unsafe altitude following a misinterpretation of the ATC clearance. A lack of crew coordination, a wrong planned approach and crew fatigue."
"August 28, 1973",2050,"Thirty-five miles west of Los Angeles, California",Trans World Airlines,742,Honolulu - Los Angeles,Boeing B-707-331B,N8705T,18916/455,149 (passengers:141 crew:8),1 (passengers:1 crew:0),0,"The plane porpoised while descending to LAX. The aircraft was subjected to 2 minutes of peak acceleration forces of 2.4 g. A combination of design tolerances in the aircraft's longitudinal control system which, under certain conditions, produced a critical relationship between control forces and aircraft response."
"September 08, 1973",0542,"King Cove, Alaska",World Airways,,Travis - Cold Bay - Yokota - Clark,McDonnell Douglas DC-8-63F,N802WA,46146,6 (passengers:3 crew:3),6 (passengers:3 crew:3),0,"Hit mountain at 3,500 ft., in level flight, 15.5 miles east of airport in fog. Improper IFR operation. Descended below MSA in mountainous terrain. The captain's deviation from approved instrument approach procedures. As a result of the deviation the flight descended into an area of unreliable navigation signals and obstructing terrain."
"September 11, 1973",,"Moganik, Yugoslavia",JAT Yugoslav Airlines,,Skopje - Titograd,Aerospatiale Caravelle 6N,YU-AHD,151/149,41 (passengers:35 crew:6),41 (passengers:35 crew:6),0,"The aircraft struck Moganik Mountain at 6,300 ft., while descending. Controlled flight into terrain."
"September 20, 1973",2245,"Natchitoches, Louisiana",Private Charter,-,"Natchitoches, La - Dallas, TX",Beechcraft E18S,N50JR,BA-176,6 (passengers:5 crew:1),6 (passengers:5 crew:1),0,"The plane crashed into a tree 200 yards past the end of the runway while taking off from Natchitoches, Louisiana Municipal Airport. A witness to the crash reported that the plane never seemed to gain any altitude. It scraped the top of a pecan tree, catching a wing and crashed to the ground. Pilot failed to see/avoid objects, obstructions. Pilot had severe coronary artery disease. Ran 3 miles from motel to airport. May have had a heart attack. Singer Jim Croce, 30, killed. Also killed were accompanist Maurice Muehleisen, publicist Kenny Cortese, road manager Dennis Rast, comedian George Stevens and pilot Robert Elliot. Croce's company had just completed a performance before a crowd of 2,000 at Northwest State University."
"September 27, 1973",1952,"Rich Mountain, Arkansas",Texas International Airlines,655,Memphis - El Dorado - Texarkana - Dallas,Convair 600,N94230,056,11 (passengers:8 crew:3),11 (passengers:8 crew:3),0,"The aircraft flew100 miles off course and struck Black Fork Mountain, 600 feet below the summit of the peak, 91 miles North of Texarkana. Heavy thunderstorms were in the area at the time. The captain's attempt to operate the flight under VFR at night without using all the navigational aids and information available to him and his deviation from the pre-planned route without adequate positioning information."
"September 30, 1973",,"Miritituba, Brazil",Aeronorte,,Itaituba - Jacareacanga,Douglas DC-3A,PT-CEV,20182,9 (passengers:5 crew:4),9 (passengers:5 crew:4),0,"The crew started the takeoff roll at a point 200m down the runway, with a runway distance remaining of 1080m. After taking off, the DC-3 climbed slowly, entered a right turn, stalled and crashed in flames. Power loss on one or both engines, due to maintenance deficiencies or fuel contamination."
"September 30, 1973",2037,"Near Sverdlovsk, Russia",Aeroflot,3932,Sverdlovsk - Omsk,Tupolev TU-104B,CCCP-42506,21904,108 (passengers:100 crew:8),108 (passengers:100 crew:8),0,"The aircraft crashed shortly after takeoff while on a go-around. After reaching an altitude of 1,200 ft. the aircraft banked to the left which steepened until the plane began to descend and finally crashed. Malfunctioning artificial horizon."
"October 02, 1973",2336,"Magadan, Russia",Aeroflot,3932,Yakutsk - Magadan,Antonov AN-12V,CCCP-12967,9346502,10 (passengers:8 crew:2),10 (passengers:8 crew:2),0,The cargo plane struck high ground after going off course during a go-around. Crew error.
"October 13, 1973",2018,"Near Domodedovo, Russia",Aeroflot,964,Tbilisi - Moscow,Tupolev TU-104B,CCCP-42486,021504,122 (passengers:114 crew:8),122 (passengers:114 crew:8),0,"After making a right turn, the aircraft plunged to earth from 1,500 ft. Electrical failure of the compass and main gyro."
"October 23, 1973",0850,"Guanabara Bay, Brazil",VASP,,Rio de Janeiro - Belo Horizonte,NAMC YS-11A-211,PP-SMJ,2068,65 (passengers:60 crew:5),8 (passengers:8 crew:0),0,"The takeoff from Santos Dumont airport was aborted after a loss of power occurred before the V1 speed was reached. Due to poor braking action, emergency brakes were applied. The pilot-in-command retracted the landing gear after it was apparent an overrun was imminent. The aircraft slid into Guanabara Bay."
"November 02, 1973",,"Villavicencio, Colombia",Lineas Aéreas La Urraca,,Arauca - Cucuta,Handley Page HPR-7 Herald 101,HK- 718,150,16 (passengers:12 crew:4),6 (passengers:3 crew:3),0,The aircraft crashed after diverting to Villavicencio after experiencing hydraulic problems and having to feather the No. 1engine.
"November 03, 1973",0939,"Boston,: Massachusetts",Pan American World Airways,160,New York City - Prestwick,Boeing B-707-321C,N458PA,19368/640,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,"Smoke in the cockpit and uncontrollable fire in the cargo plane caused by spillage of nitric acid on sawdust packing in the cargo hold. The aircraft was named ""Clipper Titian."""
"November 03, 1973",1640,"Near Albuquerque, New Mexico",National Airlines,27,"Miami, FL - San Francisco, CA",McDonnell Douglas DC-10-10,N60NA,46700/14,128 (passengers:116 crew:12),1 (passengers:1 crew:0),0,"Overspeeding of the starboard engine caused the engine to disintegrate. Pieces struck the fuselage, breaking a window, causing rapid explosive decompression and a passenger Mr. Gardner, sitting in seat 17H was sucked out of the plane. The plane landed safely. His body was found two years later. The captain and flight engineer were experimenting with the autothrottle system by tripping the circuit breakers which supplied the instruments which measured the rotational speed of each engine's low pressure compressor. This led to engine overspeeding and destruction of the engine."
"November 17, 1973",0200,"Near Quang-Ngai, South Vietnam",Air Vietnam (South Vietnam),,on - Quang Ngai,Douglas DC-3,XV-NIE,14910/26355,27 (passengers:24 crew:3),27 (passengers:24 crew:3),0,Flew into a mountain while en route. Flying under VFR in IFR conditons.
"December 07, 1973",2229,"Moscow, USSR",Aeroflot,964,Mineral Waters - Moscow,Tupolev TU-104B,CCCP-42503,21901,75 (passengers:68 crew:7),13 (passengers:11 crew:5),0,The aircraft crashed after the wing touched the ground while landing short of the runway. Crew error in not executing a missed approach.
